paper_id,region,in_cohort,oa_id,file,doi,title,first_author,year,venue,citations,is_seed,grace_role,mission,paper_category,centre,release,filter,truncation,gia_model,c20,c30,geocenter,c20_c30,depletion_claim,regions_studied,n_quotes,n_quotes_verified,model,extraction_error,fulltext_reextract
208,igp,True,W4315864415,W4315864415,10.3390/su15021572,Spatiotemporal Analysis of Future Trends in Terrestrial Water Storage Anomalies at Different Climatic Zones of India Using GRACE/GRACE-FO,Mohd Sayeed Ul Hasan,2023,Sustainability,8,no,uses-mascon-product,GRACE+GRACE-FO,mascon,JPL,RL06,mascon,,,,,,unclear/unclear,average declining rate of yearly terrestrial water storage data ... is −0.0075 m (−0.75 cm/year) from 2002 to 2020,India,3,2,deepseek-chat (full-text 2026 round2),,yes
209,igp,True,W3182594560,09,10.1007/978-3-030-67932-3_11,Seasonal Ground Water Fluctuation Monitoring Using GRACE Satellite Technology Over Punjab and Haryana During 2005–2015,Anil Kumar Singh,2021,Geography of the physical environment,7,no,uses-published-TWS,GRACE,downstream-use,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,groundwater mean depletion thickness over Haryana was found 1.13 cm and for Punjab is 0.92 cm during 2005–2015,Punjab; Haryana,0,0,deepseek-chat,,
210,igp,True,W4224123612,122,10.5194/hess-2022-39,Evaluating downscaling methods of GRACE data: a case study over a fractured crystalline aquifer in South India,Claire Pascal,2022,,6,no,uses-mascon-product,GRACE+GRACE-FO,mascon,JPL,RL06M,mascon,unclear,unclear,unclear,unclear,unclear,unclear,,Telangana State; South India,3,3,deepseek-chat,,
211,igp,True,W4385954768,53,10.3389/feart.2023.1227691,"Application of gravity and remote sensing data to groundwater potential in Wadi Ar-Ramah, Saudi Arabia",Ahmed Mohamed,2023,Frontiers in Earth Science,6,no,uses-mascon-product,GRACE+GRACE-FO,mascon,multiple,unclear,mascon,unclear,unclear,unclear,unclear,unclear,unclear,groundwater depletion of −1.212 ± 0.012 cm/yr,Wadi Ar-Ramah,2,2,deepseek-chat,,
212,igp,True,W4389738181,56,10.5194/isprs-archives-xlviii-1-w2-2023-1319-2023,"PREDICTING THE IMPACT OF RAPID URBANISATION ON URBAN GROUNDWATER LEVEL VARIATIONS AND ANALYZING CLIMATE DYNAMICS IN PUNJAB'S CITIES, INDIA: AN APPROACH TOWARDS SUSTAINABLE CITIES",Shubham Awasthi,2023,"The international archives of the photogrammetry, remote sensing and spatial information sciences/International archives of the photogrammetry, remote sensing and spatial information sciences",6,no,uses-mascon-product,GRACE+GRACE-FO,mascon,CSR-M,unclear,mascon,unclear,unclear,unclear,unclear,unclear,unclear,extreme decline in groundwater storage levels,Ludhiana; Patiala,2,2,deepseek-chat,,
213,igp,True,W2067487332,87,10.1007/s12517-012-0629-z,Terrestrial water dynamics in the lower Ganges—estimates from ENVISAT and GRACE,Haris Hasan Khan,2012,Arabian Journal of Geosciences,6,no,uses-published-TWS,GRACE,downstream-use,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,a definite trend of total water depletion,lower Ganges basin,0,0,deepseek-chat,,
214,igp,True,W4403216812,74,10.1080/02626667.2024.2403720,GRACE-derived groundwater variability and its resilience in north India: impact of climatic and socioeconomic factors,Sandip Kumar Rana,2024,Hydrological Sciences Journal,5,no,uses-mascon-product,GRACE+GRACE-FO,mascon,GSFC,RL06,mascon,unclear,unclear,unclear,unclear,unclear,unclear,maximum ~ -6.6 cm/year GWS decline in Haryana,north India; Haryana; Punjab; Rajasthan; Uttar Pradesh,3,2,deepseek-chat,,
215,igp,True,W4392042245,111,10.1007/s11053-024-10312-w,Bridging the Temporal Gaps in GRACE/GRACE–FO Terrestrial Water Storage Anomalies over the Major Indian River Basins Using Deep Learning,Pragay Shourya Moudgil,2024,Natural Resources Research,4,no,uses-mascon-product,GRACE+GRACE-FO,mascon,multiple,RL06.1,mascon,unclear,ICE6G-D,replaced,unclear,applied,replaced/unclear,significant groundwater depletion in the northern and northwestern river basins,Indus basin; Ganges basin; Brahmaputra basin; Godavari; Krishna; Cauvery; Pennar; major Indian river basins,6,1,deepseek-chat,,
216,igp,True,W4403042277,124,10.1007/s10661-024-13174-0,"Application of GRACE-based satellite estimates in the assessment of flood potential: A case study of Gangetic-Brahmaputra basin, India",S.K. Sen,2024,Environmental Monitoring and Assessment,4,no,uses-mascon-product,GRACE,mascon,JPL,RL06,mascon,unclear,unclear,unclear,unclear,unclear,unclear,,Indo-Gangetic-Brahmaputra Basin (IGBB); Upper-Gangetic Yamuna Chambal Basin (UGYCB); Lower Gangetic Basin (LGB); Lower Brahmaputra Basin (LBB); Teesta River basin (TRB),3,1,deepseek-chat,,
217,igp,True,W4386447062,57,10.5194/isprs-archives-xlviii-m-3-2023-95-2023,MONITORING GROUNDWATER STORAGE BASINS AND HYDROLOGICAL CHANGES USING THE GRACE SATELLITE AND SENTINEL-1 FOR THE GANGA RIVER BASIN,Abhinav Galodha,2023,"The international archives of the photogrammetry, remote sensing and spatial information sciences/International archives of the photogrammetry, remote sensing and spatial information sciences",4,no,uses-published-TWS,GRACE+GRACE-FO,downstream-use,JPL,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,,Ganga River Basin; Indo-Gangetic Plain,1,0,deepseek-chat,,
218,igp,True,W4401019641,64,10.2166/ws.2024.173,"Climatic teleconnection of the future trend of meteorological, GRACE-DSI, and vegetation-conditioned-based drought analysis in the Ganga Basin",Mohd Sayeed Ul Hasan,2024,Water Science & Technology Water Supply,4,no,uses-published-TWS,GRACE,downstream-use,JPL,RL06,unclear,unclear,unclear,unclear,unclear,unclear,unclear,increasing trend of drought over the study period,Ganga Basin,2,2,deepseek-chat,,
219,igp,True,W2042896897,08,10.5194/isprsarchives-xl-8-329-2014,Estimation of regional mass anomalies from Gravity Recovery and Climate Experiment (GRACE) over Himalayan region,Ritesh Agrawal,2014,"The international archives of the photogrammetry, remote sensing and spatial information sciences/International archives of the photogrammetry, remote sensing and spatial information sciences",3,no,uses-mascon-product,GRACE,mascon,CSR,unclear,mascon,unclear,unclear,unclear,unclear,unclear,unclear,Ganga and Brahmaputra basins have shown an average annual change of -1.28 cm and -1.06 cm in terms of WEH,Indus basin; Ganga basin; Brahmaputra basin,2,1,deepseek-chat,,
220,igp,True,W4408109105,11,10.25103/jestr.181.19,Groundwater Storage Analysis using Geospatial Techniques: A Comprehensive Review over Asian Region,Balbir Nagal,2025,Journal of Engineering Science and Technology Review,3,no,review-or-perspective,GRACE+GRACE-FO,review,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,Indo-Gangetic Plains: -14.6 ± 5.6 mm/yr (2003–2023),"Asia; India; Northwest India Aquifer; Rajasthan; Punjab; Haryana; Delhi; North India; South India; Northern India; Punjab state; Bengal Basin; Ganges Basin; Ghaghara River basin; Lower Transboundary Indus Basin; Peninsular India; Godavari River basin; Krishna River basin; Mahanadi River basin; Indo-Gangetic Plains; North East India; Central North East India; North West India; West Central India; Indus Basin; Kabul River Basin; Lower Bari Doab Canal; Indo-Gangetic Basin; China; Ten major basins (SRB, LRB, HRB, YRB, HHRB, SEB, YZRB, PRB, SWB, CB); North China Plain; Beijing-Tianjin Region; Southwest China; Highly Karstic Regions; Low Karstic Regions; Southeastern Taihang Mountain Region; Haihe River Basin; Sanjiang Plain; Xingkai Lake; Ordos Basin; Hexi Corridor; Beijing-Tianjin-Hebei; Northwest inland basins of China; 18 major aquifers in China; Inner Mongolia; Agro-pastoral transitional zone of northern China; Arid inland Xinjiang Province; Qinghai-Tibetan Plateau; Yangtze River basin; Ganges-Brahmaputra basin; Bangladesh; Bengal Basin of Bangladesh; Indonesia; Bandung GW Basin; Iran; Kabudarahang Plain; Razan-Qahavand Plain; Yazd province; Urmia catchment; South Asia (Pakistan); Irrigated Indus Basin (Delhi Doab, BIST Doab, BARI Doab, JECH Doab); South Korea; Saudi Arabia; Wadi Al Dawasir Basin; Southeast Asia; Three Himalayan River basins (IRB, GRB, BRB); United Arab Emirates; Eastern Abu Dhabi Emirate",0,0,deepseek-chat,,
221,igp,True,W2801622173,88,10.1061/(asce)he.1943-5584.0001670,Space-Time Cokriging Approach for Groundwater-Level Prediction with Multiattribute Multiresolution Satellite Data,Madhumita Sahoo,2018,Journal of Hydrologic Engineering,3,no,uses-published-TWS,GRACE,downstream-use,JPL,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,,Indo-Gangetic Basin,1,0,deepseek-chat,,
222,igp,True,W4389764487,65,10.5194/isprs-archives-xlviii-1-w2-2023-1265-2023,DEEP AND MACHINE LEARNING FOR MONITORING GROUNDWATER STORAGE BASINS AND HYDROLOGICAL CHANGES USING THE GRAVITY RECOVERY AND CLIMATE EXPERIMENT (GRACE) SATELLITE MISSION AND SENTINEL-1 DATA FOR THE GANGA RIVER BASIN IN THE INDIAN REGION,Kancharla Nitish Sai,2023,"The international archives of the photogrammetry, remote sensing and spatial information sciences/International archives of the photogrammetry, remote sensing and spatial information sciences",2,no,uses-published-TWS,GRACE+GRACE-FO,downstream-use,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,,Ganga River Basin; Indo-Gangetic Plain,0,0,deepseek-chat,,
223,igp,True,W3129519520,76,10.47884/jweam.v1i3pp26-32,Entropy Analysis of Seasonal Groundwater Level Fluctuations for Delhi and Haridwar Regions of India Using Grace Satellite Data,Shekhar Singh,2020,Journal of Water Engineering and Management,2,no,uses-published-TWS,GRACE,downstream-use,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,,Delhi; Haridwar,0,0,deepseek-chat,,
224,igp,True,W4387828719,77,10.1109/igarss52108.2023.10283323,Assimilating Time-Series SAR Interferometry and Grace for Monitoring Groundwater Dynamics in the Southern Punjab Region of India,Shubham Awasthi,2023,,1,no,uses-published-TWS,GRACE+GRACE-FO,downstream-use,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,,southern Punjab region of India,0,0,deepseek-chat,,
225,igp,True,W4417245277,89,10.1007/s11356-025-37274-7,Groundwater depletion in India: the influence of seasonal precipitation and land use land cover,Yanping Cao,2025,Environmental Science and Pollution Research,1,no,uses-mascon-product,GRACE+GRACE-FO,mascon,CSR,RL06,mascon,unclear,unclear,unclear,unclear,unclear,unclear,"groundwater depletion across India, particularly in the northern plains, with summer decline of -6.52 mm/year and winter -5.46 mm/year",India; northern plains; northeastern India; northwest region; central northeast region; west central region; peninsular region; Indo-Gangetic Basin,3,3,deepseek-chat,,
226,igp,True,W7128538465,107,10.2139/ssrn.6215477,Unveiling Localized Groundwater Depletion Hotspots in Eastern India via Physically Consistent Machine Learning Downscaling of GRACE Data,Suraj Dule,2026,SSRN Electronic Journal,0,no,uses-mascon-product,GRACE+GRACE-FO,mascon,CSR,RL06,mascon,unclear,unclear,unclear,unclear,unclear,unclear,"regional mean depletion was -0.65 cm/year, specific agricultural hotspots lost water at rates exceeding -2.05 cm/year",Eastern India; Bihar; Jharkhand; West Bengal,3,2,deepseek-chat,,
227,igp,True,W7128920409,126,10.1016/j.rsase.2026.101929,"Synergistic utilization of GRACE/GRACE-FO observations to monitor groundwater storage dynamics in Gujarat, India",Aum Upadhyay,2026,Remote Sensing Applications Society and Environment,0,no,uses-mascon-product,GRACE+GRACE-FO,mascon,JPL,RL06.1Mv03,mascon,unclear,unclear,unclear,unclear,unclear,unclear,,Gujarat; Saurashtra; North Gujarat; Central Gujarat; South Gujarat; Kachchh,3,2,deepseek-chat,,
228,igp,True,W3098173682,15,10.5194/egusphere-egu2020-6125,Anthropogenic water depletion in the Indo-Gangetic Plain,Bingshi Liu,2020,,0,no,uses-published-TWS,unclear,downstream-use,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,anthropogenic depletion rate in Indus Plain increased from -5.5 to -25.0 km3/yr (2003-2011) and stabilized at ~-26.0 km3/yr (2011-2016); Ganges Plain slowed from -37.7 to -12.0 km3/yr (2003-2011) then increased to -20.0 km3/yr (2016),Indo-Gangetic Plain; Indus Plain; Ganges Plain,0,0,deepseek-chat,,
229,igp,True,W7135198678,16,10.5194/egusphere-egu26-1643,Quantifying Groundwater Storage Loss in The Northwestern Indo-Gangetic Alluvial Plain Using Integrated Geodetic Measurements and Geophysical Modelling,Shivprasad More,2026,,0,no,does-not-use-grace,unclear,non-GRACE,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,,Northwestern Indo-Gangetic Alluvial Plain,0,0,deepseek-chat,,
230,igp,True,W7127980664,25,10.21275/sr251028130626,Spatiotemporal Variability of Water Storage Anomalies and Soil Moisture Dynamics Across India's Diverse Hydroclimatic Zones: A Two-Decade Assessment Using GRACE and GLDAS,Vihaan Singla,2026,International Journal of Science and Research (IJSR),0,no,uses-published-TWS,GRACE+GRACE-FO,downstream-use,CSR,RL06,G300,unclear,ICE-6G_D,unclear,unclear,unclear,unclear,northwestern India exhibiting persistent negative TWS anomalies (-30 to -40 cm) indicating severe water depletion,India; Delhi; Indo-Gangetic plains; northwestern India; Punjab; Haryana; Rajasthan; Maharashtra; Gujarat; Karnataka; Uttar Pradesh; Bihar; Himalayan foothills; northeastern states; peninsular India; central India,4,4,deepseek-chat,,
231,igp,True,W7134945159,55,10.1007/s12665-026-12891-8,Combined hydro-meteorological drought assessment of Ganga-Brahmaputra Basin: insights of the control of total water storage anomaly in drought occurrence,Subimal Nandi,2026,Environmental Earth Sciences,0,no,uses-mascon-product,GRACE+GRACE-FO,mascon,JPL,RL06.1,mascon,unclear,unclear,unclear,unclear,unclear,unclear,"UGB and YCB exhibit the sharpest declines of -2.622 cm/year and -2.116 cm/year, respectively",Ganga-Brahmaputra Basin; Upper Ganga Basin; Yamuna-Chambal Basin; Lower Ganga Basin; Brahmaputra Basin,4,3,deepseek-chat,,
232,igp,True,W4415050229,66,10.3808/jeil.202400163,"Assessment of Groundwater Storage and Urban Temporal Variations using GRACE Satellite Data: Case Study of Cooum river basin, India",Ravi Ande,2025,Journal of Environmental Informatics Letters,0,no,uses-published-TWS,GRACE,downstream-use,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,6.98-meter drop in groundwater levels,Cooum river basin,0,0,deepseek-chat,,
233,igp,True,W3093683794,68,10.1109/icassp39728.2021.9413591,Estimation of Groundwater Storage Variations in Indus River Basin Using Grace Data,Yahya Sattar,2021,,0,no,processes-L2-SHM,GRACE,own-SHM,unclear,RL03,von Mises smoothing (spherical analogue of Gaussian),61,unclear,unclear,unclear,unclear,unclear,groundwater depletion on average over the time period,Indus River Basin,3,1,deepseek-chat,,
234,igp,True,W4323044389,W4323044389,10.5194/hess-2023-37,Sediment transport in Indian rivers high enough to impact satellite gravimetry,Alexandra Klemme,2023,,0,no,uses-published-TWS,GRACE+GRACE-FO,downstream-use,COST-G,RL01,,,,,,,unclear/unclear,sediment transport accounts for (4±2)% of the gravity decrease that is currently attributed to groundwater depletion,Ganges-Brahmaputra-Meghna catchment; Indus catchment; Ganges catchment; Brahmaputra catchment; Meghna catchment; Indus catchment; Himalayan mountain regions,2,2,deepseek-chat (full-text 2026 round2),,yes
238,igp,True,W4393965785,W4393965785,10.5194/hess-28-1527-2024,Sediment transport in South Asian rivers high enough to impact satellite gravimetry,Alexandra Klemme,2024,Hydrology and earth system sciences,0,no,uses-published-TWS,GRACE+GRACE-FO,downstream-use,COST-G,RL01,,,,,,,unclear/unclear,sediment transport accounts for (4 ± 2) % of the gravity decrease currently attributed to groundwater depletion,Ganges catchment; Brahmaputra catchment; Meghna catchment; Indus catchment; Ganges–Brahmaputra–Meghna catchment; Himalayan mountain regions; Indo–Gangetic Plain,2,1,deepseek-chat (full-text 2026 round2),,yes
239,igp,True,W4413858976,W4413858976,10.64672/ijifr/25.08.12.12.018,"GROUNDWATER SUSTAINABILITY: INTEGRATED POLICY, TECHNOLOGICAL, AND COMMUNITY-BASED STRATEGIES FOR AQUIFER RESILIENCE",C. DHANALAKSHMI,2025,International Journal Of Informative and Futuristic Research,0,no,does-not-use-grace,unclear,non-GRACE,,,,,,,,,unclear/unclear,yearly drops reaching 05 meters in essential regions,Indo-Gangetic plain; Punjab; Rajasthan; Gujarat; Haryana; Karnataka; Maharashtra; Tamil Nadu,0,0,deepseek-chat (full-text 2026 round2),,yes
240,igp,True,W7130412685,W7130412685,10.1029/2025jb032730,Present‐Day Tectonic and Non‐Tectonic Crustal Deformation of and Around the Indian Plate From GNSS and GRACE Measurements,Shubham Rajewar,2026,Journal of Geophysical Research Solid Earth,0,no,uses-published-TWS,GRACE+GRACE-FO,downstream-use,GRGS,RL05,Gaussian and destriping,,,replaced,,Swenson 2008,replaced/unclear,groundwater depletion causing uplift up to 4.2 mm/yr,Indian plate; Himalayan arc; Indo-Burmese arc; Kachchh failed rift; Narmada Son failed rift; Godavari failed rift; Rajputana block; Indo-Gangetic plains; Bengal Basin,5,2,deepseek-chat (full-text 2026 round2),,yes
241,indus,True,W1981130750,,10.1016/j.gloplacha.2014.02.007,Long-term groundwater variations in Northwest India from satellite gravity measurements,Jianli Chen,2014,Global and Planetary Change,270,no,processes-L2-SHM,GRACE,own-SHM,CSR,RL05,Swenson-Wahr destripe + G500,60,A_2013,replaced (SLR),unclear,Swenson 2008 (seasonal),replaced (SLR)/unclear,20.4 ± 7.1 Gt/yr over 2003-2012,Northwest India; Punjab Province of Pakistan,7,2,deepseek-chat,,
242,indus,True,W2426956916,,10.1016/j.epsl.2016.06.002,Groundwater storage changes in the Tibetan Plateau and adjacent areas revealed from GRACE satellite gravity data,Longwei Xiang,2016,Earth and Planetary Science Letters,189,no,processes-L2-SHM,GRACE,own-SHM,multiple,RL05,Gaussian,60,ICE-6G_C (VM5a),,,,unclear/unclear,"GWS decreasing trend rates due to groundwater depletion are found to be -8.36 ± 2.12 Gt/yr for Afghanistan-Pakistan, -17.95 ± 3.06 Gt/yr for Northwest India, -8.82 ± 2.95 Gt/yr for north-central India, and -4.36 ± 2.85 Gt/yr for the Bengal basin of Bangladesh",Tibetan Plateau; Jinsha River basin; Nujiang-Lancangjiang Rivers Source Region; Yangtze River Source Region; Yellow River Source Region; Qaidam basin; central Qiangtang Nature Reserve; Upper Indus basin; Aksu River basin; Afghanistan-Pakistan; Northwest India; north-central India; Bengal basin of Bangladesh,5,4,deepseek-chat (full-text 2026),,yes
243,indus,True,W2260509705,,10.1002/2015wr017797,Spatiotemporal evolution of water storage changes in <scp>I</scp>ndia from the updated <scp>GRACE</scp>‐derived gravity records,D. K. Panda,2015,Water Resources Research,164,no,processes-L2-SHM,GRACE,own-SHM,CSR,RL05,G350,,,replaced with SLR,,Swenson et al. 2008,replaced with SLR/unclear,Ganges Basin GWS depletion of 1.25 cm yr⁻¹; Punjab GWS depletion of 2.1 cm yr⁻¹,India; Ganges Basin; Punjab,5,4,deepseek-chat (full-text 2026),,yes
244,indus,True,W2914361363,,10.1029/2018jd029552,Changes in Terrestrial Water Storage During 2003–2014 and Possible Causes in Tibetan Plateau,Fanchong Meng,2019,Journal of Geophysical Research Atmospheres,158,no,uses-mascon-product,GRACE,mascon,multiple,RL05,mascon,,,,,,unclear/unclear,TWS depletion in the UB was mostly due to glacier mass loss,Tibetan Plateau; upstream of Yangtze (UYA); upstream of Yellow (UYE); upstream of Brahmaputra (UB); upstream of Indus (UI); Inner TP (ITP); Qaidam Basin (QB),3,3,deepseek-chat (full-text 2026 round2),,yes
245,indus,True,W3197848683,,10.3390/rs13173513,Improving the Resolution of GRACE Data for Spatio-Temporal Groundwater Storage Assessment,Shoaib Ali,2021,Remote Sensing,127,no,uses-published-TWS,GRACE,downstream-use,multiple,RL05,Gaussian,60,unclear,unclear,unclear,unclear,unclear,lost GWS of about -9.54 ± 1.27 km3 at the rate of -0.68 ± 0.09 km3/year from 2003 to 2016,Indus basin irrigation system (IBIS),4,3,deepseek-chat,,
246,indus,True,W2898205374,,10.1029/2018ef000939,Groundwater Depletion and Associated CO<sub>2</sub> Emissions in India,Vimal Mishra,2018,Earth s Future,121,no,uses-published-TWS,GRACE,downstream-use,CSR,RL05,,,,,,,unclear/unclear,,India,2,2,deepseek-chat (full-text 2026 round2),,yes
247,indus,True,W4319298550,,10.3390/rs15040873,Spatial Downscaling of GRACE Data Based on XGBoost Model for Improved Understanding of Hydrological Droughts in the Indus Basin Irrigation System (IBIS),Shoaib Ali,2023,Remote Sensing,113,no,uses-published-TWS,GRACE,downstream-use,multiple,RL06,Gaussian,,,,,,unclear/unclear,TWSA declined at a rate of -3.25 mm/year between 2003 and 2016,Indus Basin Irrigation System (IBIS),3,3,deepseek-chat (full-text 2026 round2),,yes
248,indus,True,W4280509258,,10.1016/j.scitotenv.2022.156044,Combining downscaled-GRACE data with SWAT to improve the estimation of groundwater storage and depletion variations in the Irrigated Indus Basin (IIB),Arfan Arshad,2022,The Science of The Total Environment,91,no,uses-published-TWS,GRACE+GRACE-FO,downstream-use,JPL,RL05,unclear,unclear,unclear,unclear,unclear,unclear,unclear,total loss of groundwater reserves varied in the IIB's 55 canal command areas with the highest loss observed in Dehli Doab by >50 km3,Irrigated Indus Basin (IIB); Dehli Doab; BIST Doab; BARI Doab; JECH Doab; RACHNA Doab; Sindh-Sagar; LIB,2,1,deepseek-chat,,
249,indus,True,W4291172155,,10.1016/j.jhydrol.2022.128295,Constructing high-resolution groundwater drought at spatio-temporal scale using GRACE satellite data based on machine learning in the Indus Basin,Shoaib Ali,2022,Journal of Hydrology,90,no,uses-published-TWS,GRACE,downstream-use,multiple,RL05,Gaussian,,,,,,unclear/unclear,groundwater depletion trend of -3.39 ± 0.45 mm/year,Indus Basin; Indus Basin Irrigation System (IBIS),3,3,deepseek-chat (full-text 2026 round2),,yes
250,indus,True,W4200025572,,10.1016/j.jhydrol.2021.127315,Estimation of spatio-temporal groundwater storage variations in the Lower Transboundary Indus Basin using GRACE satellite,Shoaib Ali,2021,Journal of Hydrology,84,no,uses-mascon-product,GRACE,mascon,multiple,RL05,mascon,unclear,unclear,unclear,unclear,unclear,unclear,4.16 ± 0.26 mm per year (2.97 ± 0.19 km3 per year),Lower Transboundary Indus Basin,3,1,deepseek-chat,,
251,indus,True,W2474384442,,10.1109/jstars.2016.2574378,Satellite Gravimetric Estimation of Groundwater Storage Variations Over Indus Basin in Pakistan,Naveed Iqbal,2016,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,65,no,processes-L2-SHM,GRACE,own-SHM,CSR,RL05,G300,,,,,,unclear/unclear,groundwater is declining at a mean rate of about 13.5 mm per year in equivalent height of water during 2003–2010,Indus Basin; Upper Indus Plain (UIP); Bari Doab; Rechna Doab; Thal Doab; Chaj Doab,3,3,deepseek-chat (full-text 2026),,yes
252,indus,True,W4200616574,,10.1016/j.jhydrol.2021.127369,Evaluation of GRACE derived groundwater storage changes in different agro-ecological zones of the Indus Basin,Fazlullah Akhtar,2021,Journal of Hydrology,61,no,uses-published-TWS,GRACE,downstream-use,,,,,,,,,unclear/unclear,"mean annual depletion in GWSA of −304.2 ± 749 and −301 ± 527 mm at the LBDC and the KRB, respectively",Indus Basin; Kabul River Basin; Lower Bari Doab Canal command area,0,0,deepseek-chat (full-text 2026 round2),,yes
253,indus,True,W3189244987,,10.1016/j.scitotenv.2021.149366,Overview of terrestrial water storage changes over the Indus River Basin based on GRACE/GRACE-FO solutions,Yu Zhu,2021,The Science of The Total Environment,56,no,uses-mascon-product,GRACE+GRACE-FO,mascon,CSR,RL06,mascon,,,replaced,,applied,replaced/unclear,TWS decreased at a rate of 0.57 ± 1.02 mm/month from 2002 to 2020,Indus River Basin; Upper Indus Basin (UIB); Middle and Upper Indus Plain (MUIP),5,3,deepseek-chat (full-text 2026 round2),,yes
254,indus,True,W2594358888,,10.1007/s10661-017-5846-1,Integrated groundwater resource management in Indus Basin using satellite gravimetry and physical modeling tools,Naveed Iqbal,2017,Environmental Monitoring and Assessment,51,no,processes-L2-SHM,GRACE,own-SHM,CSR,RL05,smoothing + decorrelation (methods not further specified),,,,,,unclear/unclear,groundwater storage is depleted at an average rate of about 0.38 km3/year in Bari and about 0.21 km3/year in the Rechna doab from 2003 to 2010,Indus Basin; Bari doab; Rechna doab; Chaj doab; Thal doab,3,3,deepseek-chat (full-text 2026),,yes
255,indus,True,W4384497161,,10.1016/j.gsd.2023.100990,Terrestrial and groundwater storage characteristics and their quantification in the Chitral (Pakistan) and Kabul (Afghanistan) river basins using GRACE/GRACE-FO satellite data,Aqil Tariq,2023,Groundwater for Sustainable Development,46,no,uses-mascon-product,GRACE+GRACE-FO,mascon,CSR,RL06,mascon,,,,,,unclear/unclear,GWS indicated a harsh declining trend of −7.83 ± 0.52 mm/month from 2003 to 2021 in CKRB,Chitral Kabul River Basin (CKRB); Chitral-Kunar; Swat; Alingor; Kabul; Panjshair; Logar; Paktika,3,3,deepseek-chat (full-text 2026 round2),,yes
256,indus,True,W4295901299,,10.1038/s41598-022-18511-2,Drought characterization over Indian sub-continent using GRACE-based indices,Shivam Rawat,2022,Scientific Reports,41,no,uses-mascon-product,GRACE,mascon,JPL,RL06,mascon,unclear,unclear,unclear,unclear,unclear,unclear,TWS is depleting for most of the subbasins in India,Indian sub-continent; India; Indo-Gangetic plains; Ganga; Indus; Brahmaputra; Godavari; Krishna; Cauvery; Mahanadi; Sabarmati; Narmada; Tapi,3,3,deepseek-chat,,
257,indus,True,W4400651583,,10.1029/2023wr035882,Downscaled‐GRACE Data Reveal Anthropogenic and Climate‐Induced Water Storage Decline Across the Indus Basin,Arfan Arshad,2024,Water Resources Research,37,no,uses-mascon-product,GRACE+GRACE-FO,mascon,CSR,RL06,mascon,unclear,ICE6G-D,unclear,unclear,unclear,unclear,"TWS and GWS decline rate between 2002 and 2023: Dehli Doab (−442, −585 mm/year), BIST Doab (−367, −556 mm/year), Rajasthan (−242, −381 mm/year), and BARI (−188, −333 mm/year)",Indus Basin; Dehli Doab; BIST Doab; Rajasthan; BARI Doab; Yogo; Gilgit; Khurmong; Kabul; JECH Doab; RECHNA Doab; Sidh Sagar Doab; Sindh Sagar (Upper); LIB; Jhelum; Satluj; Shigar; Indus; Hunza and Gilgit; Ravi; Chenab,4,4,deepseek-chat,,
258,indus,True,W3110666842,,10.1002/hyp.14003,"Groundwater depletion in northern India: Impacts of the sub‐regional anthropogenic land‐use, socio‐politics and changing climate",D. K. Panda,2020,Hydrological Processes,34,no,uses-mascon-product,GRACE,mascon,CSR,RL05,mascon,unclear,unclear,unclear,unclear,unclear,unclear,groundwater storage loss in northern India has increased rapidly from 17 km3 to 189 km3 between the pre-2002 and 2002–2013 periods,"northern India; Punjab, Haryana and Delhi; Rajasthan; Uttar Pradesh; Bihar and West Bengal",3,3,deepseek-chat,,
259,indus,True,W3014180464,,10.1109/access.2020.2984794,Spatial and Temporal Variations of Terrestrial Water Storage in Upper Indus Basin Using GRACE and Altimetry Data,Dostdar Hussain,2020,IEEE Access,28,no,processes-L2-SHM,GRACE,own-SHM,multiple,RL05,G300,60,Geruo_ICE5G_VM2,replaced,,Swenson 2008,replaced/unclear,negative trends of -4.47 ± 0.38 mm/year (SH) and -4.81 ± 0.49 mm/year (MSC),Upper Indus Basin; Hunza river basin,7,6,deepseek-chat (full-text 2026),,yes
260,indus,True,W3196848396,,10.3390/su13179686,Appraisal of Remote Sensing Technology for Groundwater Resource Management Perspective in Indus Basin,Gulraiz Akhter,2021,Sustainability,26,no,processes-L2-SHM,GRACE,own-SHM,CSR,RL05,filtering + smoothing following Iqbal et al. (2016),,,,,,unclear/unclear,overall depletion trend in groundwater storage captured by GRACE in all four doabs,Upper Indus Plain Aquifer; Indus Basin,2,2,deepseek-chat (full-text 2026),,yes
